season,week,team_id,player_id,player_name,position,lineup_slot_id,lineup_slot,is_starter,points
2022,2,5,4243537,Gabe Davis,WR,21,IR,False,0.0
2022,2,5,4036133,T.J. Hockenson,TE,6,TE,True,5.6
2022,2,5,2577417,Dak Prescott,QB,21,IR,False,0.0
2022,2,5,-16009,Packers D/ST,D/ST,16,D/ST,True,10.0
2022,2,5,3116164,Mike Gesicki,TE,20,BE,False,14.100000000000001
2022,2,5,3124679,Jason Sanders,K,17,K,True,6.0
2022,2,5,2574808,Robbie Anderson,WR,23,FLEX,True,4.2
2022,2,5,4371733,Kenneth Gainwell,RB,20,BE,False,2.8000000000000003
2022,2,5,2576623,DeVante Parker,WR,20,BE,False,0.0
2022,2,5,3046779,Jared Goff,QB,0,QB,True,34.04
2022,2,5,3128724,Isaiah McKenzie,WR,20,BE,False,5.7
2022,2,5,15880,Robert Woods,WR,4,WR,True,7.9
2022,2,8,3054850,Alvin Kamara,RB,20,BE,False,0.0
2022,2,8,4259545,D'Andre Swift,RB,2,RB,True,16.700000000000003
2022,2,8,2976212,Stefon Diggs,WR,4,WR,True,45.8
2022,2,8,3918298,Josh Allen,QB,0,QB,True,38.68
2022,2,8,4035687,Michael Pittman Jr.,WR,20,BE,False,0.0
2022,2,8,3121023,Dallas Goedert,TE,6,TE,True,13.200000000000001
2022,2,8,15807,Cordarrelle Patterson,RB,23,FLEX,True,4.1000000000000005
2022,2,8,-16025,49ers D/ST,D/ST,16,D/ST,True,13.0
2022,2,8,4383351,Trey Lance,QB,20,BE,False,2.5
2022,2,8,16790,Jarvis Landry,WR,23,FLEX,True,6.5
2022,2,8,13981,Mark Ingram II,RB,2,RB,True,6.1000000000000005
2022,2,8,3975763,Greg Joseph,K,17,K,True,1.0
2022,2,8,2572861,J.D. McKissic,RB,20,BE,False,13.3
2022,2,8,4426354,George Pickens,WR,4,WR,True,3.3000000000000003
2022,2,8,15971,Rex Burkhead,RB,20,BE,False,2.9
2022,2,8,3051738,Marquez Valdes-Scantling,WR,20,BE,False,3.3
2022,2,9,3117251,Christian McCaffrey,RB,2,RB,True,16.8
