season,team_id,week,slot,starter_name,starter_points,bench_alternative,bench_points,points_left_on_bench,team_name
2023,6,10,QB,Jared Goff,25.12,Sam Howell,33.18,8.06,Whos Yurdatty
2022,8,13,QB,Josh Allen,20.92,Geno Smith,28.98,8.06,False Shart
2024,11,11,QB,Brock Purdy,20.36,Justin Herbert,28.380000000000003,8.02,Seattle  Ricks 
2022,11,2,RB,Saquon Barkley,11.799999999999999,Tony Pollard,19.8,8.0,Seattle  Ricks 
2024,3,4,FLEX,DeAndre Hopkins,5.1,Rico Dowdle,13.100000000000001,8.0,Kareemin' My Jeans
2025,12,10,RB,Tyrone Tracy Jr.,8.100000000000001,Woody Marks,16.1,8.0,Blunder Bust 2000
2024,3,2,FLEX,DeAndre Hopkins,1.9,Rico Dowdle,9.9,8.0,Kareemin' My Jeans
2023,5,14,D/ST,Lions D/ST,4.0,Bengals D/ST,12.0,8.0,One-cut Heroes
2024,5,17,FLEX,Jayden Reed,1.6,Jaleel McLaughlin,9.6,8.0,One-cut Heroes
2023,2,8,FLEX,Brandon Powell,2.2,AJ Dillon,10.2,8.0,Show Me Dem TDs
2023,1,14,D/ST,Ravens D/ST,5.0,Jets D/ST,13.0,8.0,MaChungus
2023,4,2,WR,DeAndre Hopkins,8.0,Amari Cooper,16.0,8.0,Greendale Human Beings
2023,9,8,WR,Hunter Renfrow,3.9000000000000004,Tee Higgins,11.9,8.0,Olivas - Alone
2022,11,15,D/ST,Commanders D/ST,3.0,Cardinals D/ST,11.0,8.0,Seattle  Ricks 
2024,1,16,WR,Malik Nabers,13.8,Tank Dell,21.8,8.0,LaPorta Potty
2022,6,7,QB,Lamar Jackson,10.7,Trevor Lawrence,18.7,8.0,Whos Yurdatty
2025,5,7,WR,Xavier Worthy,7.8,Tez Johnson,15.8,8.0,One-cut Heroes
2024,1,4,D/ST,Steelers D/ST,2.0,Ravens D/ST,10.0,8.0,LaPorta Potty
2025,2,6,D/ST,Colts D/ST,2.0,Jets D/ST,10.0,8.0,Show Me Dem TDs
2025,5,6,D/ST,Chiefs D/ST,4.0,Seahawks D/ST,12.0,8.0,One-cut Heroes
2025,2,10,K,Chris Boswell,5.0,Tyler Loop,13.0,8.0,Show Me Dem TDs
2024,2,9,D/ST,Texans D/ST,4.0,Vikings D/ST,12.0,8.0,Show Me Dem TDs
2022,1,15,FLEX,Chris Olave,8.3,Tee Higgins,16.3,8.0,D. Adams Family
2025,5,6,WR,DJ Moore,8.2,Josh Downs,16.2,8.0,One-cut Heroes
2022,6,1,FLEX,Diontae Johnson,12.5,Amon-Ra St. Brown,20.4,7.9,Whos Yurdatty
2022,6,7,FLEX,Amon-Ra St. Brown,1.4,Nyheim Hines,9.3,7.9,Whos Yurdatty
2024,4,8,FLEX,Cooper Kupp,16.1,Tyrone Tracy Jr.,24.0,7.9,Greendale Human Beings
2023,7,16,WR,Curtis Samuel,3.0,Tyler Boyd,10.9,7.9,Put it Justin??
2022,11,5,TE,Dalton Schultz,0.0,Noah Fant,7.9,7.9,Seattle  Ricks 
2023,1,4,FLEX,K.J. Osborn,2.6,Christian Watson,10.5,7.9,MaChungus
2024,1,9,RB,Joe Mixon,16.6,J.K. Dobbins,24.5,7.9,LaPorta Potty
2022,12,16,TE,Juwan Johnson,1.9,Darren Waller,9.8,7.9,Shart City Poo Bums
2022,9,3,WR,Nelson Agholor,4.1000000000000005,Garrett Wilson,12.0,7.9,Slim Pickins
2024,12,8,WR,Amari Cooper,1.3,Jalen McMillan,9.2,7.9,El Ultimo Hombre
2023,10,2,FLEX,Zay Flowers,10.8,Drake London,18.7,7.9,Team Clucker Fuckers
2022,7,3,RB,Joe Mixon,6.800000000000001,Josh Jacobs,14.700000000000001,7.9,Worst Cook
2023,8,16,RB,Travis Etienne Jr.,6.1000000000000005,Gus Edwards,14.0,7.9,False Shart
2025,6,11,QB,Lamar Jackson,4.719999999999999,Bo Nix,12.600000000000001,7.88,Whos Yurdatty
2022,4,1,QB,Tua Tagovailoa,17.8,Jameis Winston,25.66,7.86,Greendale Human Beings
2022,11,5,QB,Justin Herbert,16.42,Kirk Cousins,24.240000000000002,7.82,Seattle  Ricks 
2022,6,1,WR,Deebo Samuel,12.6,Amon-Ra St. Brown,20.4,7.8,Whos Yurdatty
2024,8,13,FLEX,Khalil Shakir,7.0,Isaiah Likely,14.8,7.8,Here's to you
2025,10,8,WR,Drake London,0.0,Wan'Dale Robinson,7.800000000000001,7.8,Team Clucker Fuckers
2025,3,1,WR,Malik Nabers,12.100000000000001,Hollywood Brown,19.9,7.8,Shooting Ropes💦
2022,10,1,FLEX,Brandin Cooks,15.200000000000001,Kareem Hunt,23.0,7.8,Team Clucker Fuckers
2023,3,4,FLEX,DeVonta Smith,14.8,Terry McLaurin,22.6,7.8,Kareemin' My Jeans
2025,6,6,WR,Deebo Samuel,5.4,Matthew Golden,13.2,7.8,Whos Yurdatty
2025,8,8,FLEX,Cam Skattebo,10.0,Dallas Goedert,17.8,7.8,Run CMC
2023,4,15,RB,Chuba Hubbard,12.3,Clyde Edwards-Helaire,20.1,7.8,Greendale Human Beings
