season,team_id,week,actual_points,optimal_points,points_left_on_bench,efficiency_pct,team_name
2023,5,1,116.92000000000002,136.00000000000003,19.080000000000013,86.0,One-cut Heroes
2023,6,1,121.02000000000001,137.12000000000003,16.100000000000023,88.3,Whos Yurdatty
2023,7,1,111.54000000000002,145.23999999999998,33.69999999999996,76.8,Put it Justin??
2023,8,1,130.60000000000002,145.39999999999998,14.799999999999955,89.8,False Shart
2023,9,1,103.74,131.20000000000002,27.460000000000022,79.1,Olivas - Alone
2023,10,1,96.78,128.48000000000002,31.700000000000017,75.3,Team Clucker Fuckers
2023,11,1,98.08000000000001,131.16,33.079999999999984,74.8,Seattle  Ricks 
2023,12,1,146.26,148.55999999999997,2.299999999999983,98.5,El Ultimo Hombre
2023,1,2,118.4,149.24,30.840000000000003,79.3,MaChungus
2023,2,2,107.11999999999999,127.02000000000001,19.90000000000002,84.3,Show Me Dem TDs
2023,3,2,126.14000000000001,156.28000000000003,30.140000000000015,80.7,Kareemin' My Jeans
2023,4,2,159.68,172.78000000000003,13.100000000000023,92.4,Greendale Human Beings
2023,5,2,145.44,164.94,19.5,88.2,One-cut Heroes
2023,6,2,146.92000000000002,151.92000000000002,5.0,96.7,Whos Yurdatty
2023,7,2,94.94,108.80000000000001,13.860000000000014,87.3,Put it Justin??
2023,8,2,141.98,153.58,11.600000000000023,92.4,False Shart
2023,9,2,168.95999999999998,184.76000000000002,15.80000000000004,91.4,Olivas - Alone
2023,10,2,151.18,170.48,19.299999999999983,88.7,Team Clucker Fuckers
2023,11,2,145.3,177.76,32.45999999999998,81.7,Seattle  Ricks 
2023,12,2,124.69999999999999,127.38,2.680000000000007,97.9,El Ultimo Hombre
2023,1,3,121.48,131.78,10.299999999999997,92.2,MaChungus
2023,2,3,164.08,165.77999999999997,1.6999999999999602,99.0,Show Me Dem TDs
2023,3,3,103.14000000000001,113.74000000000001,10.599999999999994,90.7,Kareemin' My Jeans
2023,4,3,132.68,171.36,38.68000000000001,77.4,Greendale Human Beings
2023,5,3,138.76000000000002,150.35999999999999,11.599999999999966,92.3,One-cut Heroes
2023,6,3,164.92,164.92000000000002,2.842170943040401e-14,100.0,Whos Yurdatty
2023,7,3,105.46,128.46,23.000000000000014,82.1,Put it Justin??
2023,8,3,122.14000000000001,140.23999999999998,18.099999999999966,87.1,False Shart
2023,9,3,131.82,140.39999999999998,8.579999999999984,93.9,Olivas - Alone
2023,10,3,141.34,155.84,14.5,90.7,Team Clucker Fuckers
2023,11,3,183.38,209.89999999999998,26.519999999999982,87.4,Seattle  Ricks 
2023,12,3,156.2,166.40000000000003,10.200000000000045,93.9,El Ultimo Hombre
2023,1,4,121.22000000000001,129.42,8.199999999999974,93.7,MaChungus
2023,2,4,162.35999999999999,164.76,2.4000000000000057,98.5,Show Me Dem TDs
2023,3,4,142.12,166.04,23.919999999999987,85.6,Kareemin' My Jeans
2023,4,4,106.25999999999999,151.82000000000002,45.56000000000003,70.0,Greendale Human Beings
2023,5,4,137.14000000000001,178.29999999999998,41.15999999999997,76.9,One-cut Heroes
2023,6,4,131.0,140.60000000000002,9.600000000000023,93.2,Whos Yurdatty
